SELECTED_GENE,EVALUATED_GENE,CORRELATION,PVALUE
XPO5,AGAP6,-0.20985733281211216,6.172933934797017e-11
XPO5,AGAP9,-0.10390784144167939,0.0013250145071412665
XPO5,AGBL3,0.11565910772771211,0.00034899574140760106
XPO5,AGFG1,0.13313531729618733,3.77586128407134e-05
XPO5,AGO1,0.11587206990217472,0.00034025522092807507
XPO5,AGO2,0.2080708137686963,9.017787388362145e-11
XPO5,AGPAT1,0.1371276855962509,2.180894489787974e-05
XPO5,AGR3,-0.10820400837198903,0.0008257482285440693
XPO5,AHCTF1,-0.25164450329891364,3.2390908149391956e-15
XPO5,AHNAK,-0.10195467997062069,0.0016336070696101846
XPO5,AIDA,-0.09411190602237743,0.0036559814997184172
XPO5,AIPL1,0.1330775379273321,3.805547556187708e-05
XPO5,AK6,0.21154656968154936,4.300198864663018e-11
XPO5,AK7,0.11309712640162697,0.00047194680839067775
XPO5,AKAP10,0.12018467413311415,0.0002017254983293634
XPO5,AKAP12,0.09525581264944574,0.0032620462114376857
XPO5,AKAP17A,0.16298688948920412,4.2787891280290525e-07
XPO5,AKAP3,-0.10450486894581126,0.0012420034543286795
XPO5,AKIP1,0.15594953273803605,1.3312296948441367e-06
XPO5,AKNA,-0.08663964183123704,0.00747869190438442
XPO5,AKR1B15,-0.08705533440246355,0.007196249211871123
XPO5,AKR7A2,0.08414489345272078,0.009392015156079042
XPO5,AKT2,0.08569506948680625,0.00815769976880352
XPO5,ALAS1,0.11090311189418009,0.000608171918341991
XPO5,ALDH18A1,0.11486105424664834,0.00038364974726568776
XPO5,ALDH3A2,0.09704451709235047,0.002722904180703618
XPO5,ALG1,0.08718051495650754,0.007113088248798633
XPO5,ALG11,-0.22764892539622122,1.1748069611943634e-12
XPO5,ALG12,0.11554595367840151,0.0003537247461658696
XPO5,ALG13,0.2430585042509147,2.8731790923189226e-14
XPO5,ALG2,0.1670517400893138,2.1718369747026235e-07
XPO5,ALG3,0.08399929167819992,0.00951608852832409
XPO5,ALG5,0.09984083458837194,0.0020409992395112216
XPO5,ALKBH2,0.0999229668342114,0.002023573430651752
XPO5,ALKBH3,0.08939546405515082,0.0057773743674707735
XPO5,ALKBH5,0.14133826512867767,1.2022328923118124e-05
XPO5,ALKBH8,0.13110629849673194,4.96157553607695e-05
XPO5,ALOXE3,0.15769960827225618,1.0084722822311536e-06
XPO5,AMACR,0.08563738774709781,0.008200895688528503
XPO5,AMD1,0.08530845197167856,0.008451153002838746
